c:objc(cs)SFSafariViewController(im)initWithURL:configuration:	swift.init	init(url:configuration:)	SFSafariViewController.init(url:configuration:)	@MainActor init(url URL: URL, configuration: SFSafariViewController.Configuration)
c:objc(cs)SFSafariViewController(im)initWithURL:configuration:::SYNTHESIZED::c:objc(cs)SFSafariViewController	swift.init	init(URL:configuration:)	SFSafariViewController.init(URL:configuration:)	@MainActor init(URL: URL, configuration: SFSafariViewController.Configuration)
c:objc(cs)SFSafariViewController(im)initWithURL:entersReaderIfAvailable:	swift.init	init(url:entersReaderIfAvailable:)	SFSafariViewController.init(url:entersReaderIfAvailable:)	@MainActor init(url URL: URL, entersReaderIfAvailable: Bool)
c:objc(cs)SFSafariViewController(im)initWithURL:entersReaderIfAvailable:::SYNTHESIZED::c:objc(cs)SFSafariViewController	swift.init	init(URL:entersReaderIfAvailable:)	SFSafariViewController.init(URL:entersReaderIfAvailable:)	@MainActor init(URL: URL, entersReaderIfAvailable: Bool)
c:objc(cs)SFSafariViewController(py)configuration	swift.property	configuration	SFSafariViewController.configuration	@NSCopying @MainActor var configuration: SFSafariViewController.Configuration { get }
c:objc(cs)SFSafariViewController(py)delegate	swift.property	delegate	SFSafariViewController.delegate	@MainActor weak var delegate: (any SFSafariViewControllerDelegate)? { get set }
c:objc(cs)SFSafariViewController(py)dismissButtonStyle	swift.property	dismissButtonStyle	SFSafariViewController.dismissButtonStyle	@MainActor var dismissButtonStyle: SFSafariViewController.DismissButtonStyle { get set }
c:objc(cs)SFSafariViewController(py)preferredBarTintColor	swift.property	preferredBarTintColor	SFSafariViewController.preferredBarTintColor	@MainActor var preferredBarTintColor: UIColor? { get set }
c:objc(cs)SFSafariViewController(py)preferredControlTintColor	swift.property	preferredControlTintColor	SFSafariViewController.preferredControlTintColor	@MainActor var preferredControlTintColor: UIColor? { get set }
c:objc(cs)SFSafariViewControllerActivityButton	swift.class	SFSafariViewController.ActivityButton	SFSafariViewController.ActivityButton	class ActivityButton
c:objc(cs)SFSafariViewControllerActivityButton(im)initWithTemplateImage:extensionIdentifier:	swift.init	init(templateImage:extensionIdentifier:)	SFSafariViewController.ActivityButton.init(templateImage:extensionIdentifier:)	init(templateImage: UIImage, extensionIdentifier: String)
c:objc(cs)SFSafariViewControllerActivityButton(py)extensionIdentifier	swift.property	extensionIdentifier	SFSafariViewController.ActivityButton.extensionIdentifier	var extensionIdentifier: String? { get }
c:objc(cs)SFSafariViewControllerActivityButton(py)templateImage	swift.property	templateImage	SFSafariViewController.ActivityButton.templateImage	@NSCopying var templateImage: UIImage? { get }
c:objc(cs)SFSafariViewControllerConfiguration	swift.class	SFSafariViewController.Configuration	SFSafariViewController.Configuration	class Configuration
c:objc(cs)SFSafariViewControllerConfiguration(py)activityButton	swift.property	activityButton	SFSafariViewController.Configuration.activityButton	@NSCopying var activityButton: SFSafariViewController.ActivityButton? { get set }
c:objc(cs)SFSafariViewControllerConfiguration(py)barCollapsingEnabled	swift.property	barCollapsingEnabled	SFSafariViewController.Configuration.barCollapsingEnabled	var barCollapsingEnabled: Bool { get set }
c:objc(cs)SFSafariViewControllerConfiguration(py)entersReaderIfAvailable	swift.property	entersReaderIfAvailable	SFSafariViewController.Configuration.entersReaderIfAvailable	var entersReaderIfAvailable: Bool { get set }
c:objc(cs)SFSafariViewControllerConfiguration(py)eventAttribution	swift.property	eventAttribution	SFSafariViewController.Configuration.eventAttribution	@NSCopying var eventAttribution: UIEventAttribution? { get set }
c:objc(cs)SFSafariViewControllerDataStore	swift.class	SFSafariViewController.DataStore	SFSafariViewController.DataStore	class DataStore
c:objc(cs)SFSafariViewControllerDataStore(cpy)defaultDataStore	swift.type.property	default	SFSafariViewController.DataStore.default	class var `default`: SFSafariViewController.DataStore { get }
c:objc(cs)SFSafariViewControllerDataStore(im)clearWebsiteDataWithCompletionHandler:	swift.method	clearWebsiteData(completionHandler:)	SFSafariViewController.DataStore.clearWebsiteData(completionHandler:)	func clearWebsiteData(completionHandler completion: (() -> Void)? = nil)
c:objc(cs)SFSafariViewControllerPrewarmingToken	swift.class	SFSafariViewController.PrewarmingToken	SFSafariViewController.PrewarmingToken	class PrewarmingToken
c:objc(cs)SFSafariViewControllerPrewarmingToken(im)invalidate	swift.method	invalidate()	SFSafariViewController.PrewarmingToken.invalidate()	func invalidate()
c:objc(cs)SSReadingList	swift.class	SSReadingList	SSReadingList	class SSReadingList
c:objc(cs)SSReadingList(cm)defaultReadingList	swift.type.method	default()	SSReadingList.default()	class func `default`() -> SSReadingList?
c:objc(cs)SSReadingList(cm)supportsURL:	swift.type.method	supportsURL(_:)	SSReadingList.supportsURL(_:)	class func supportsURL(_ URL: URL) -> Bool
c:objc(cs)SSReadingList(im)addReadingListItemWithURL:title:previewText:error:	swift.method	addItem(with:title:previewText:)	SSReadingList.addItem(with:title:previewText:)	func addItem(with URL: URL, title: String?, previewText: String?) throws
c:objc(pl)NSCoding(im)initWithCoder:::SYNTHESIZED::c:objc(cs)SFSafariViewControllerActivityButton	swift.init	init(coder:)	SFSafariViewController.ActivityButton.init(coder:)	init?(coder: NSCoder)
c:objc(pl)SFAddToHomeScreenActivityItem	swift.protocol	SFAddToHomeScreenActivityItem	SFAddToHomeScreenActivityItem	protocol SFAddToHomeScreenActivityItem : NSObjectProtocol
c:objc(pl)SFAddToHomeScreenActivityItem(im)getHomeScreenWebAppInfoWithCompletionHandler:	swift.method	getHomeScreenWebAppInfo(completionHandler:)	SFAddToHomeScreenActivityItem.getHomeScreenWebAppInfo(completionHandler:)	optional func getHomeScreenWebAppInfo(completionHandler: @escaping (SFAddToHomeScreenInfo?) -> Void)
c:objc(pl)SFAddToHomeScreenActivityItem(im)getWebAppManifestWithCompletionHandler:	swift.method	getWebAppManifest(completionHandler:)	SFAddToHomeScreenActivityItem.getWebAppManifest(completionHandler:)	optional func getWebAppManifest(completionHandler: @escaping (BEWebAppManifest?) -> Void)
c:objc(pl)SFAddToHomeScreenActivityItem(py)URL	swift.property	url	SFAddToHomeScreenActivityItem.url	var url: URL { get }
c:objc(pl)SFAddToHomeScreenActivityItem(py)iconItemProvider	swift.property	iconItemProvider	SFAddToHomeScreenActivityItem.iconItemProvider	optional var iconItemProvider: NSItemProvider? { get }
c:objc(pl)SFAddToHomeScreenActivityItem(py)title	swift.property	title	SFAddToHomeScreenActivityItem.title	var title: String { get }
c:objc(pl)SFSafariViewControllerDelegate	swift.protocol	SFSafariViewControllerDelegate	SFSafariViewControllerDelegate	protocol SFSafariViewControllerDelegate : NSObjectProtocol
c:objc(pl)SFSafariViewControllerDelegate(im)safariViewController:activityItemsForURL:title:	swift.method	safariViewController(_:activityItemsFor:title:)	SFSafariViewControllerDelegate.safariViewController(_:activityItemsFor:title:)	optional func safariViewController(_ controller: SFSafariViewController, activityItemsFor URL: URL, title: String?) -> [UIActivity]
c:objc(pl)SFSafariViewControllerDelegate(im)safariViewController:didCompleteInitialLoad:	swift.method	safariViewController(_:didCompleteInitialLoad:)	SFSafariViewControllerDelegate.safariViewController(_:didCompleteInitialLoad:)	optional func safariViewController(_ controller: SFSafariViewController, didCompleteInitialLoad didLoadSuccessfully: Bool)
c:objc(pl)SFSafariViewControllerDelegate(im)safariViewController:excludedActivityTypesForURL:title:	swift.method	safariViewController(_:excludedActivityTypesFor:title:)	SFSafariViewControllerDelegate.safariViewController(_:excludedActivityTypesFor:title:)	optional func safariViewController(_ controller: SFSafariViewController, excludedActivityTypesFor URL: URL, title: String?) -> [UIActivity.ActivityType]
c:objc(pl)SFSafariViewControllerDelegate(im)safariViewController:initialLoadDidRedirectToURL:	swift.method	safariViewController(_:initialLoadDidRedirectTo:)	SFSafariViewControllerDelegate.safariViewController(_:initialLoadDidRedirectTo:)	optional func safariViewController(_ controller: SFSafariViewController, initialLoadDidRedirectTo URL: URL)
c:objc(pl)SFSafariViewControllerDelegate(im)safariViewControllerDidFinish:	swift.method	safariViewControllerDidFinish(_:)	SFSafariViewControllerDelegate.safariViewControllerDidFinish(_:)	optional func safariViewControllerDidFinish(_ controller: SFSafariViewController)
c:objc(pl)SFSafariViewControllerDelegate(im)safariViewControllerWillOpenInBrowser:	swift.method	safariViewControllerWillOpenInBrowser(_:)	SFSafariViewControllerDelegate.safariViewControllerWillOpenInBrowser(_:)	optional func safariViewControllerWillOpenInBrowser(_ controller: SFSafariViewController)
