precise	kind	title	path	declaration
c:@UNNotificationAttachmentOptionsThumbnailHiddenKey	swift.var	UNNotificationAttachmentOptionsThumbnailHiddenKey	UNNotificationAttachmentOptionsThumbnailHiddenKey	let UNNotificationAttachmentOptionsThumbnailHiddenKey: String
c:@UNNotificationAttachmentOptionsThumbnailTimeKey	swift.var	UNNotificationAttachmentOptionsThumbnailTimeKey	UNNotificationAttachmentOptionsThumbnailTimeKey	let UNNotificationAttachmentOptionsThumbnailTimeKey: String
c:@UNNotificationAttachmentOptionsTypeHintKey	swift.var	UNNotificationAttachmentOptionsTypeHintKey	UNNotificationAttachmentOptionsTypeHintKey	let UNNotificationAttachmentOptionsTypeHintKey: String
c:@UNNotificationDefaultActionIdentifier	swift.var	UNNotificationDefaultActionIdentifier	UNNotificationDefaultActionIdentifier	let UNNotificationDefaultActionIdentifier: String
c:@UNNotificationDismissActionIdentifier	swift.var	UNNotificationDismissActionIdentifier	UNNotificationDismissActionIdentifier	let UNNotificationDismissActionIdentifier: String
c:objc(cs)NSString(cm)localizedUserNotificationStringForKey:arguments:	swift.type.method	localizedUserNotificationString(forKey:arguments:)	NSString.localizedUserNotificationString(forKey:arguments:)	class func localizedUserNotificationString(forKey key: String, arguments: [Any]?) -> String
c:objc(cs)UNCalendarNotificationTrigger	swift.class	UNCalendarNotificationTrigger	UNCalendarNotificationTrigger	class UNCalendarNotificationTrigger
c:objc(cs)UNCalendarNotificationTrigger(cm)triggerWithDateMatchingComponents:repeats:	swift.init	init(dateMatching:repeats:)	UNCalendarNotificationTrigger.init(dateMatching:repeats:)	convenience init(dateMatching dateComponents: DateComponents, repeats: Bool)
c:objc(cs)UNCalendarNotificationTrigger(cm)triggerWithDateMatchingComponents:repeats:::SYNTHESIZED::c:objc(cs)UNCalendarNotificationTrigger	swift.init	init(dateMatchingComponents:repeats:)	UNCalendarNotificationTrigger.init(dateMatchingComponents:repeats:)	convenience init(dateMatchingComponents dateComponents: DateComponents, repeats: Bool)
c:objc(cs)UNCalendarNotificationTrigger(im)nextTriggerDate	swift.method	nextTriggerDate()	UNCalendarNotificationTrigger.nextTriggerDate()	func nextTriggerDate() -> Date?
c:objc(cs)UNCalendarNotificationTrigger(py)dateComponents	swift.property	dateComponents	UNCalendarNotificationTrigger.dateComponents	var dateComponents: DateComponents { get }
c:objc(cs)UNLocationNotificationTrigger	swift.class	UNLocationNotificationTrigger	UNLocationNotificationTrigger	class UNLocationNotificationTrigger
c:objc(cs)UNLocationNotificationTrigger(cm)triggerWithRegion:repeats:	swift.init	init(region:repeats:)	UNLocationNotificationTrigger.init(region:repeats:)	convenience init(region: CLRegion, repeats: Bool)
c:objc(cs)UNLocationNotificationTrigger(py)region	swift.property	region	UNLocationNotificationTrigger.region	@NSCopying var region: CLRegion { get }
c:objc(cs)UNMutableNotificationContent	swift.class	UNMutableNotificationContent	UNMutableNotificationContent	class UNMutableNotificationContent
c:objc(cs)UNMutableNotificationContent(py)attachments	swift.property	attachments	UNMutableNotificationContent.attachments	var attachments: [UNNotificationAttachment] { get set }
c:objc(cs)UNMutableNotificationContent(py)badge	swift.property	badge	UNMutableNotificationContent.badge	@NSCopying var badge: NSNumber? { get set }
c:objc(cs)UNMutableNotificationContent(py)body	swift.property	body	UNMutableNotificationContent.body	var body: String { get set }
c:objc(cs)UNMutableNotificationContent(py)categoryIdentifier	swift.property	categoryIdentifier	UNMutableNotificationContent.categoryIdentifier	var categoryIdentifier: String { get set }
c:objc(cs)UNMutableNotificationContent(py)filterCriteria	swift.property	filterCriteria	UNMutableNotificationContent.filterCriteria	var filterCriteria: String? { get set }
c:objc(cs)UNMutableNotificationContent(py)interruptionLevel	swift.property	interruptionLevel	UNMutableNotificationContent.interruptionLevel	var interruptionLevel: UNNotificationInterruptionLevel { get set }
c:objc(cs)UNMutableNotificationContent(py)launchImageName	swift.property	launchImageName	UNMutableNotificationContent.launchImageName	var launchImageName: String { get set }
c:objc(cs)UNMutableNotificationContent(py)relevanceScore	swift.property	relevanceScore	UNMutableNotificationContent.relevanceScore	var relevanceScore: Double { get set }
c:objc(cs)UNMutableNotificationContent(py)sound	swift.property	sound	UNMutableNotificationContent.sound	@NSCopying var sound: UNNotificationSound? { get set }
c:objc(cs)UNMutableNotificationContent(py)subtitle	swift.property	subtitle	UNMutableNotificationContent.subtitle	var subtitle: String { get set }
c:objc(cs)UNMutableNotificationContent(py)summaryArgument	swift.property	summaryArgument	UNMutableNotificationContent.summaryArgument	var summaryArgument: String { get set }
c:objc(cs)UNMutableNotificationContent(py)summaryArgumentCount	swift.property	summaryArgumentCount	UNMutableNotificationContent.summaryArgumentCount	var summaryArgumentCount: Int { get set }
c:objc(cs)UNMutableNotificationContent(py)targetContentIdentifier	swift.property	targetContentIdentifier	UNMutableNotificationContent.targetContentIdentifier	var targetContentIdentifier: String? { get set }
c:objc(cs)UNMutableNotificationContent(py)threadIdentifier	swift.property	threadIdentifier	UNMutableNotificationContent.threadIdentifier	var threadIdentifier: String { get set }
c:objc(cs)UNMutableNotificationContent(py)title	swift.property	title	UNMutableNotificationContent.title	var title: String { get set }
c:objc(cs)UNMutableNotificationContent(py)userInfo	swift.property	userInfo	UNMutableNotificationContent.userInfo	var userInfo: [AnyHashable : Any] { get set }
c:objc(cs)UNNotification	swift.class	UNNotification	UNNotification	class UNNotification
c:objc(cs)UNNotification(py)date	swift.property	date	UNNotification.date	var date: Date { get }
c:objc(cs)UNNotification(py)request	swift.property	request	UNNotification.request	@NSCopying var request: UNNotificationRequest { get }
c:objc(cs)UNNotificationAction	swift.class	UNNotificationAction	UNNotificationAction	class UNNotificationAction
c:objc(cs)UNNotificationAction(cm)actionWithIdentifier:title:options:	swift.init	init(identifier:title:options:)	UNNotificationAction.init(identifier:title:options:)	convenience init(identifier: String, title: String, options: UNNotificationActionOptions = [])
c:objc(cs)UNNotificationAction(cm)actionWithIdentifier:title:options:icon:	swift.init	init(identifier:title:options:icon:)	UNNotificationAction.init(identifier:title:options:icon:)	convenience init(identifier: String, title: String, options: UNNotificationActionOptions = [], icon: UNNotificationActionIcon?)
c:objc(cs)UNNotificationAction(py)icon	swift.property	icon	UNNotificationAction.icon	@NSCopying var icon: UNNotificationActionIcon? { get }
c:objc(cs)UNNotificationAction(py)identifier	swift.property	identifier	UNNotificationAction.identifier	var identifier: String { get }
c:objc(cs)UNNotificationAction(py)options	swift.property	options	UNNotificationAction.options	var options: UNNotificationActionOptions { get }
c:objc(cs)UNNotificationAction(py)title	swift.property	title	UNNotificationAction.title	var title: String { get }
c:objc(cs)UNNotificationActionIcon	swift.class	UNNotificationActionIcon	UNNotificationActionIcon	class UNNotificationActionIcon
c:objc(cs)UNNotificationActionIcon(cm)iconWithSystemImageName:	swift.init	init(systemImageName:)	UNNotificationActionIcon.init(systemImageName:)	convenience init(systemImageName: String)
c:objc(cs)UNNotificationActionIcon(cm)iconWithTemplateImageName:	swift.init	init(templateImageName:)	UNNotificationActionIcon.init(templateImageName:)	convenience init(templateImageName: String)
c:objc(cs)UNNotificationAttachment	swift.class	UNNotificationAttachment	UNNotificationAttachment	class UNNotificationAttachment
c:objc(cs)UNNotificationAttachment(cm)attachmentWithIdentifier:URL:options:error:	swift.init	init(identifier:url:options:)	UNNotificationAttachment.init(identifier:url:options:)	convenience init(identifier: String, url URL: URL, options: [AnyHashable : Any]? = nil) throws
c:objc(cs)UNNotificationAttachment(cm)attachmentWithIdentifier:URL:options:error:::SYNTHESIZED::c:objc(cs)UNNotificationAttachment	swift.init	init(identifier:URL:options:)	UNNotificationAttachment.init(identifier:URL:options:)	convenience init(identifier: String, URL: URL, options: [AnyHashable : Any]? = nil) throws
c:objc(cs)UNNotificationAttachment(py)URL	swift.property	url	UNNotificationAttachment.url	var url: URL { get }
c:objc(cs)UNNotificationAttachment(py)identifier	swift.property	identifier	UNNotificationAttachment.identifier	var identifier: String { get }
c:objc(cs)UNNotificationAttachment(py)type	swift.property	type	UNNotificationAttachment.type	var type: String { get }
c:objc(cs)UNNotificationAttributedMessageContext	swift.class	UNNotificationAttributedMessageContext	UNNotificationAttributedMessageContext	class UNNotificationAttributedMessageContext
c:objc(cs)UNNotificationAttributedMessageContext(cm)contextWithSendMessageIntent:attributedContent:	swift.init	init(sendMessageIntent:attributedContent:)	UNNotificationAttributedMessageContext.init(sendMessageIntent:attributedContent:)	convenience init(sendMessageIntent: INSendMessageIntent, attributedContent: NSAttributedString)
c:objc(cs)UNNotificationCategory	swift.class	UNNotificationCategory	UNNotificationCategory	class UNNotificationCategory
c:objc(cs)UNNotificationCategory(cm)categoryWithIdentifier:actions:intentIdentifiers:hiddenPreviewsBodyPlaceholder:categorySummaryFormat:options:	swift.init	init(identifier:actions:intentIdentifiers:hiddenPreviewsBodyPlaceholder:categorySummaryFormat:options:)	UNNotificationCategory.init(identifier:actions:intentIdentifiers:hiddenPreviewsBodyPlaceholder:categorySummaryFormat:options:)	convenience init(identifier: String, actions: [UNNotificationAction], intentIdentifiers: [String], hiddenPreviewsBodyPlaceholder: String?, categorySummaryFormat: String?, options: UNNotificationCategoryOptions = [])
c:objc(cs)UNNotificationCategory(cm)categoryWithIdentifier:actions:intentIdentifiers:hiddenPreviewsBodyPlaceholder:options:	swift.init	init(identifier:actions:intentIdentifiers:hiddenPreviewsBodyPlaceholder:options:)	UNNotificationCategory.init(identifier:actions:intentIdentifiers:hiddenPreviewsBodyPlaceholder:options:)	convenience init(identifier: String, actions: [UNNotificationAction], intentIdentifiers: [String], hiddenPreviewsBodyPlaceholder: String, options: UNNotificationCategoryOptions = [])
c:objc(cs)UNNotificationCategory(cm)categoryWithIdentifier:actions:intentIdentifiers:options:	swift.init	init(identifier:actions:intentIdentifiers:options:)	UNNotificationCategory.init(identifier:actions:intentIdentifiers:options:)	convenience init(identifier: String, actions: [UNNotificationAction], intentIdentifiers: [String], options: UNNotificationCategoryOptions = [])
