precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)ASCredentialIdentityStore(im)saveCredentialIdentityEntries:completion:	06352ba646ed15d388a0c1ac5111ebab1fe8fe3f27cd1ad2a23cc8f4f8dd4779	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	saveCredentialIdentities(_:completion:)	ASCredentialIdentityStore.saveCredentialIdentities(_:completion:)	func saveCredentialIdentities(_ credentialIdentities: [any ASCredentialIdentity], completion: ((Bool, (any Error)?) -> Void)? = nil)
c:objc(cs)ASCredentialProviderExtensionContext(im)completeAssertionRequestWithSelectedPasskeyCredential:completionHandler:	1bdadde3fec928b92fe64506afd64c81ffa0918b88aefa408cfe7e6354d24e1d	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	completeAssertionRequest(using:)	ASCredentialProviderExtensionContext.completeAssertionRequest(using:)	func completeAssertionRequest(using credential: ASPasskeyAssertionCredential) async -> Bool
c:objc(cs)ASCredentialProviderExtensionContext(im)completeAssertionRequestWithSelectedPasskeyCredential:completionHandler:	b456cd26081c7588d3e6036a8cbea770fa3fa46138048030515c87be92f611c2	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	completeAssertionRequest(using:completionHandler:)	ASCredentialProviderExtensionContext.completeAssertionRequest(using:completionHandler:)	func completeAssertionRequest(using credential: ASPasskeyAssertionCredential, completionHandler: ((Bool) -> Void)? = nil)
c:objc(cs)ASCredentialProviderExtensionContext(im)completeOneTimeCodeRequestWithSelectedCredential:completionHandler:	347e54a8dbe434c732d36262a0481a545a4197fa7fd2524e8b36731e85101191	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	completeOneTimeCodeRequest(using:)	ASCredentialProviderExtensionContext.completeOneTimeCodeRequest(using:)	func completeOneTimeCodeRequest(using credential: ASOneTimeCodeCredential) async -> Bool
c:objc(cs)ASCredentialProviderExtensionContext(im)completeOneTimeCodeRequestWithSelectedCredential:completionHandler:	41a2306435c54ac583a3485bc6e7f4fb141272c26ea12e5ada0ba823b464eab5	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	completeOneTimeCodeRequest(using:completionHandler:)	ASCredentialProviderExtensionContext.completeOneTimeCodeRequest(using:completionHandler:)	func completeOneTimeCodeRequest(using credential: ASOneTimeCodeCredential, completionHandler: ((Bool) -> Void)? = nil)
c:objc(cs)ASCredentialProviderExtensionContext(im)completeRegistrationRequestWithSelectedPasskeyCredential:completionHandler:	174dfd0af16dba50e57dc99aa1f9d59e81155a85264edbca08cd055041c47f08	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	completeRegistrationRequest(using:)	ASCredentialProviderExtensionContext.completeRegistrationRequest(using:)	func completeRegistrationRequest(using credential: ASPasskeyRegistrationCredential) async -> Bool
c:objc(cs)ASCredentialProviderExtensionContext(im)completeRegistrationRequestWithSelectedPasskeyCredential:completionHandler:	1f139fb0ee8c68abe2bafc7c8fd852d938d0a4133f42992be060426b7902cb38	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	completeRegistrationRequest(using:completionHandler:)	ASCredentialProviderExtensionContext.completeRegistrationRequest(using:completionHandler:)	func completeRegistrationRequest(using credential: ASPasskeyRegistrationCredential, completionHandler: ((Bool) -> Void)? = nil)
c:objc(cs)ASCredentialProviderExtensionContext(im)completeRequestWithTextToInsert:completionHandler:	ab28d63f3ac1f491f7329353b9ccb4160ecdda7dc3002df731ba6ade127b1b27	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.method	completeRequest(withTextToInsert:)	ASCredentialProviderExtensionContext.completeRequest(withTextToInsert:)	func completeRequest(withTextToInsert text: String) async -> Bool
c:objc(cs)ASCredentialProviderExtensionContext(im)completeRequestWithTextToInsert:completionHandler:	0e40fc6c31f1dc5bdc490484e9ce8acbe12e8dee91c30c2d8d1b55fd1e1128b7	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.method	completeRequest(withTextToInsert:completionHandler:)	ASCredentialProviderExtensionContext.completeRequest(withTextToInsert:completionHandler:)	func completeRequest(withTextToInsert text: String, completionHandler: ((Bool) -> Void)? = nil)
c:objc(cs)ASSettingsHelper(cm)openCredentialProviderAppSettingsWithCompletionHandler:	728ec8ac57025b6708eeba19c0b0d034724e6d259de6a74d9e208d87c1aee8bc	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.type.method	openCredentialProviderAppSettings(completionHandler:)	ASSettingsHelper.openCredentialProviderAppSettings(completionHandler:)	class func openCredentialProviderAppSettings(completionHandler: (((any Error)?) -> Void)? = nil)
c:objc(cs)ASSettingsHelper(cm)openCredentialProviderAppSettingsWithCompletionHandler:	843402e7b710322f0a3189b57a8e7d373c1df57d089c352cff247d50ce34b6cc	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.type.method	openCredentialProviderAppSettings()	ASSettingsHelper.openCredentialProviderAppSettings()	class func openCredentialProviderAppSettings() async throws
c:objc(cs)ASSettingsHelper(cm)openVerificationCodeAppSettingsWithCompletionHandler:	6b7aa650c7dc5128a274e79bed06c8ce103257c2cd6ae9f4b098b911c472ef09	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.type.method	openVerificationCodeAppSettings(completionHandler:)	ASSettingsHelper.openVerificationCodeAppSettings(completionHandler:)	class func openVerificationCodeAppSettings(completionHandler: (((any Error)?) -> Void)? = nil)
c:objc(cs)ASSettingsHelper(cm)openVerificationCodeAppSettingsWithCompletionHandler:	6ad12a7b27373377917a63e9d4a3429ec87a159b25aad38b4fd2eb0c19681f4c	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.type.method	openVerificationCodeAppSettings()	ASSettingsHelper.openVerificationCodeAppSettings()	class func openVerificationCodeAppSettings() async throws
c:objc(cs)ASSettingsHelper(cm)requestToTurnOnCredentialProviderExtensionWithCompletionHandler:	9a7f857864565cce88f67b5bade48e3785a5965ba423f4d205ac2ac4bcd2b2ab	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.type.method	requestToTurnOnCredentialProviderExtension(completionHandler:)	ASSettingsHelper.requestToTurnOnCredentialProviderExtension(completionHandler:)	class func requestToTurnOnCredentialProviderExtension(completionHandler: @escaping (Bool) -> Void)
c:objc(cs)ASSettingsHelper(cm)requestToTurnOnCredentialProviderExtensionWithCompletionHandler:	bca835ca2e4dbbbb2b34c5d2c3d0dff84e6b2dcab081cd689e803648ff23d601	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.type.method	requestToTurnOnCredentialProviderExtension()	ASSettingsHelper.requestToTurnOnCredentialProviderExtension()	class func requestToTurnOnCredentialProviderExtension() async -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASAuthorizationError	a554b50489dafcaf2a112acbb5c05712aafd0fd04ef0431a495f6753b15530a8	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.func.op	!=(_:_:)	ASAuthorizationError.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASAuthorizationError	0c662e7f136496dd5b848765c76d6ad60bc92ecb488520be29d51562cac989e1	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.func.op	!=(_:_:)	ASAuthorizationError.Code.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASCredentialIdentityStoreErrorCode	f2a9aecb26db2d5ae689bf1bf123323e3503965a986e5fc0e99e1a34e78396a6	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.func.op	!=(_:_:)	ASCredentialIdentityStoreError.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASCredentialIdentityStoreErrorCode	c61b18e4275939e0dd7167ca497daba6b927b713e4732039ee03479aef3990f3	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.func.op	!=(_:_:)	ASCredentialIdentityStoreError.Code.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASExtensionErrorCode	5d6e243c0571945f40beb7c5116b6ec170d6b9990d6b363f2154e4d91daec73d	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.func.op	!=(_:_:)	ASExtensionError.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASExtensionErrorCode	9ec862e3836f3466cf4fbb1c9d3a8a0babfd1f6ac3ddf3d3351869d2011b4522	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.func.op	!=(_:_:)	ASExtensionError.Code.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASWebAuthenticationSessionErrorCode	d374e9d4ef12dc3e7d537ceeb9a054ce6cd586abdffc25845b4e63ead9618375	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	1	swift.func.op	!=(_:_:)	ASWebAuthenticationSessionError.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
s:SQsE2neoiySbx_xtFZ::SYNTHESIZED::c:@E@ASWebAuthenticationSessionErrorCode	9405ffa2f2bc6eb4aaa24092225fa038ff698e9e6d2c0a288342952760f7d939	reference/symbol-graphs/AuthenticationServices.symbols.json	0	1	0	swift.func.op	!=(_:_:)	ASWebAuthenticationSessionError.Code.!=(_:_:)	static func != (lhs: Self, rhs: Self) -> Bool
