precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)GKGameActivityDefinition(im)loadLeaderboardsWithCompletionHandler:	ee82cf915f9fd743504571a1dd4a381f4ca83322b6b87dc6a44c3b90780e1ad1	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.property	leaderboards	GKGameActivityDefinition.leaderboards	var leaderboards: [GKLeaderboard] { get async throws }
c:objc(cs)GKGameSession(cm)createSessionInContainer:withTitle:maxConnectedPlayers:completionHandler:	9ab486b553fcc81388287ecabcbe4e7cac6c7ce6a5c1873d086a3c2f56b62219	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	createSession(inContainer:withTitle:maxConnectedPlayers:)	GKGameSession.createSession(inContainer:withTitle:maxConnectedPlayers:)	class func createSession(inContainer containerName: String?, withTitle title: String, maxConnectedPlayers maxPlayers: Int) async throws -> GKGameSession
c:objc(cs)GKGameSession(cm)createSessionInContainer:withTitle:maxConnectedPlayers:completionHandler:	fb137ea8d55f692621449bd64a89bcd6f094fdd22819918da6ed2332d5b529d3	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	createSession(inContainer:withTitle:maxConnectedPlayers:completionHandler:)	GKGameSession.createSession(inContainer:withTitle:maxConnectedPlayers:completionHandler:)	class func createSession(inContainer containerName: String?, withTitle title: String, maxConnectedPlayers maxPlayers: Int, completionHandler: @escaping (GKGameSession?, (any Error)?) -> Void)
c:objc(cs)GKGameSession(cm)loadSessionWithIdentifier:completionHandler:	6778baa6b95ddd46caad11c6734b74ff004866726c5cff9813e949b9f073f163	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	load(withIdentifier:)	GKGameSession.load(withIdentifier:)	class func load(withIdentifier identifier: String) async throws -> GKGameSession
c:objc(cs)GKGameSession(cm)loadSessionWithIdentifier:completionHandler:	b023170de0c31f9bb0a28e70f7388851ec22e90f401c51ffcfa23794d2ebbfe9	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	load(withIdentifier:completionHandler:)	GKGameSession.load(withIdentifier:completionHandler:)	class func load(withIdentifier identifier: String, completionHandler: @escaping (GKGameSession?, (any Error)?) -> Void)
c:objc(cs)GKGameSession(cm)loadSessionsInContainer:completionHandler:	a0a6ca49b07fed8d1c5992e73bd8ed6c15b92d11891b116aa1e88030bde0d737	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	loadSessions(inContainer:)	GKGameSession.loadSessions(inContainer:)	class func loadSessions(inContainer containerName: String?) async throws -> [GKGameSession]
c:objc(cs)GKGameSession(cm)loadSessionsInContainer:completionHandler:	5044a5490b82ff1a943b58385b881fb290e9509c2eaf43fefb363010f19bb424	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	loadSessions(inContainer:completionHandler:)	GKGameSession.loadSessions(inContainer:completionHandler:)	class func loadSessions(inContainer containerName: String?, completionHandler: @escaping ([GKGameSession]?, (any Error)?) -> Void)
c:objc(cs)GKGameSession(cm)removeSessionWithIdentifier:completionHandler:	5c3fb8ba22b802f8f764b52b53c374d66601dba6f4bc996610a88d2e73c5c491	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	remove(withIdentifier:)	GKGameSession.remove(withIdentifier:)	class func remove(withIdentifier identifier: String) async throws
c:objc(cs)GKGameSession(cm)removeSessionWithIdentifier:completionHandler:	26bcf3b01b70983082e101b267b5278ac9ca661d44fe46aae3bf215caf4feff7	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	remove(withIdentifier:completionHandler:)	GKGameSession.remove(withIdentifier:completionHandler:)	class func remove(withIdentifier identifier: String, completionHandler: @escaping ((any Error)?) -> Void)
c:objc(cs)GKGameSession(im)clearBadgeForPlayers:completionHandler:	df143d8360138af93ea742db159baa1d301510386e8d229a6b8de1c4365d0820	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	clearBadge(for:)	GKGameSession.clearBadge(for:)	func clearBadge(for players: [GKCloudPlayer]) async throws
c:objc(cs)GKGameSession(im)clearBadgeForPlayers:completionHandler:	45ea03ebb8214d9f372788e4a91e1d107d569967dde3a5867e5c0d2882da9c14	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	clearBadge(for:completionHandler:)	GKGameSession.clearBadge(for:completionHandler:)	func clearBadge(for players: [GKCloudPlayer], completionHandler: @escaping ((any Error)?) -> Void)
