precise	kind	title	path	declaration
c:objc(pl)SHSessionDelegate(im)session:didNotFindMatchForSignature:error:	swift.method	session(_:didNotFindMatchFor:error:)	SHSessionDelegate.session(_:didNotFindMatchFor:error:)	optional func session(_ session: SHSession, didNotFindMatchFor signature: SHSignature, error: (any Error)?)
s:10Foundation13CustomNSErrorPAAE11errorDomainSSvpZ::SYNTHESIZED::c:@E@SHErrorCode	swift.type.property	errorDomain	SHError.errorDomain	static var errorDomain: String { get }
s:10Foundation13CustomNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@SHErrorCode	swift.property	errorUserInfo	SHError.errorUserInfo	var errorUserInfo: [String : Any] { get }
s:10Foundation13CustomNSErrorPAAE9errorCodeSivp::SYNTHESIZED::c:@E@SHErrorCode	swift.property	errorCode	SHError.errorCode	var errorCode: Int { get }
s:10Foundation18_ErrorCodeProtocolPAAE2teoiySbx_s0B0_ptFZ::SYNTHESIZED::c:@E@SHErrorCode	swift.func.op	~=(_:_:)	SHError.Code.~=(_:_:)	static func ~= (match: Self, error: any Error) -> Bool
s:10Foundation21_BridgedStoredNSErrorPAAE13errorUserInfoSDySSypGvp::SYNTHESIZED::c:@E@SHErrorCode	swift.property	errorUserInfo	SHError.errorUserInfo	var errorUserInfo: [String : Any] { get }
s:10Foundation21_BridgedStoredNSErrorPAAE2eeoiySbx_xtFZ::SYNTHESIZED::c:@E@SHErrorCode	swift.func.op	==(_:_:)	SHError.==(_:_:)	static func == (lhs: Self, rhs: Self) -> Bool
s:10Foundation21_BridgedStoredNSErrorPAAE4code4CodeQzvp::SYNTHESIZED::c:@E@SHErrorCode	swift.property	code	SHError.code	var code: Self.Code { get }
s:10Foundation21_BridgedStoredNSErrorPAAE4hash4intoys6HasherVz_tF::SYNTHESIZED::c:@E@SHErrorCode	swift.method	hash(into:)	SHError.hash(into:)	func hash(into hasher: inout Hasher)
s:10Foundation21_BridgedStoredNSErrorPAAE8userInfoSDySSypGvp::SYNTHESIZED::c:@E@SHErrorCode	swift.property	userInfo	SHError.userInfo	var userInfo: [String : Any] { get }
s:10Foundation21_BridgedStoredNSErrorPAAE9errorCodeSivp::SYNTHESIZED::c:@E@SHErrorCode	swift.property	errorCode	SHError.errorCode	var errorCode: Int { get }
s:10Foundation21_BridgedStoredNSErrorPAAE9hashValueSivp::SYNTHESIZED::c:@E@SHErrorCode	swift.property	hashValue	SHError.hashValue	var hashValue: Int { get }
s:10Foundation21_BridgedStoredNSErrorPAAE_8userInfox4CodeQz_SDySSypGtcfc::SYNTHESIZED::c:@E@SHErrorCode	swift.init	init(_:userInfo:)	SHError.init(_:userInfo:)	init(_ code: Self.Code, userInfo: [String : Any] = [:])
s:22UniformTypeIdentifiers6UTTypeV9ShazamKitE15shazamSignatureACvpZ	swift.type.property	shazamSignature	UTType.shazamSignature	static var shazamSignature: UTType { get }
s:22UniformTypeIdentifiers6UTTypeV9ShazamKitE19shazamCustomCatalogACvpZ	swift.type.property	shazamCustomCatalog	UTType.shazamCustomCatalog	static var shazamCustomCatalog: UTType { get }
s:9ShazamKit16SHManagedSessionC	swift.class	SHManagedSession	SHManagedSession	final class SHManagedSession
s:9ShazamKit16SHManagedSessionC5StateO	swift.enum	SHManagedSession.State	SHManagedSession.State	@frozen enum State
s:9ShazamKit16SHManagedSessionC5StateO12prerecordingyA2EmF	swift.enum.case	SHManagedSession.State.prerecording	SHManagedSession.State.prerecording	case prerecording
s:9ShazamKit16SHManagedSessionC5StateO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	SHManagedSession.State.==(_:_:)	static func == (a: SHManagedSession.State, b: SHManagedSession.State) -> Bool
s:9ShazamKit16SHManagedSessionC5StateO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	SHManagedSession.State.hash(into:)	func hash(into hasher: inout Hasher)
s:9ShazamKit16SHManagedSessionC5StateO4idleyA2EmF	swift.enum.case	SHManagedSession.State.idle	SHManagedSession.State.idle	case idle
s:9ShazamKit16SHManagedSessionC5StateO8matchingyA2EmF	swift.enum.case	SHManagedSession.State.matching	SHManagedSession.State.matching	case matching
s:9ShazamKit16SHManagedSessionC5StateO9hashValueSivp	swift.property	hashValue	SHManagedSession.State.hashValue	var hashValue: Int { get }
s:9ShazamKit16SHManagedSessionC5stateAC5StateOvp	swift.property	state	SHManagedSession.state	@MainActor final var state: SHManagedSession.State { get }
s:9ShazamKit16SHManagedSessionC6cancelyyF	swift.method	cancel()	SHManagedSession.cancel()	final func cancel()
s:9ShazamKit16SHManagedSessionC6resultSo9SHSessionCAAE6ResultOyYaF	swift.method	result()	SHManagedSession.result()	final func result() async -> SHSession.Result
s:9ShazamKit16SHManagedSessionC7catalogACSo9SHCatalogC_tcfc	swift.init	init(catalog:)	SHManagedSession.init(catalog:)	init(catalog: SHCatalog)
s:9ShazamKit16SHManagedSessionC7prepareyyYaF	swift.method	prepare()	SHManagedSession.prepare()	final func prepare() async
s:9ShazamKit16SHManagedSessionC7resultsSo9SHSessionCAAE7ResultsVvp	swift.property	results	SHManagedSession.results	final var results: SHSession.Results { get }
s:9ShazamKit16SHManagedSessionCACycfc	swift.init	init()	SHManagedSession.init()	init()
s:9ShazamKit9SHLibraryC	swift.class	SHLibrary	SHLibrary	final class SHLibrary
