precise	kind	title	path	declaration
s:8AlarmKit0A12PresentationV5AlertV5title10stopButton09secondaryG00hG8BehaviorAE10Foundation23LocalizedStringResourceV_AA0aG0VANSgAE09SecondarygI0OSgtcfc	swift.init	init(title:stopButton:secondaryButton:secondaryButtonBehavior:)	AlarmPresentation.Alert.init(title:stopButton:secondaryButton:secondaryButtonBehavior:)	init(title: LocalizedStringResource, stopButton: AlarmButton, secondaryButton: AlarmButton? = nil, secondaryButtonBehavior: AlarmPresentation.Alert.SecondaryButtonBehavior? = nil)
s:8AlarmKit0A12PresentationV5AlertV5title15secondaryButton0fG8BehaviorAE10Foundation23LocalizedStringResourceV_AA0aG0VSgAE09SecondarygH0OSgtcfc	swift.init	init(title:secondaryButton:secondaryButtonBehavior:)	AlarmPresentation.Alert.init(title:secondaryButton:secondaryButtonBehavior:)	init(title: LocalizedStringResource, secondaryButton: AlarmButton? = nil, secondaryButtonBehavior: AlarmPresentation.Alert.SecondaryButtonBehavior? = nil)
s:8AlarmKit0A12PresentationV5AlertV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentation.Alert.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A12PresentationV5alert9countdown6pausedA2C5AlertV_AC9CountdownVSgAC6PausedVSgtcfc	swift.init	init(alert:countdown:paused:)	AlarmPresentation.init(alert:countdown:paused:)	init(alert: AlarmPresentation.Alert, countdown: AlarmPresentation.Countdown? = nil, paused: AlarmPresentation.Paused? = nil)
s:8AlarmKit0A12PresentationV5alertAC5AlertVvp	swift.property	alert	AlarmPresentation.alert	var alert: AlarmPresentation.Alert
s:8AlarmKit0A12PresentationV6PausedV	swift.struct	AlarmPresentation.Paused	AlarmPresentation.Paused	struct Paused
s:8AlarmKit0A12PresentationV6PausedV12resumeButtonAA0aF0Vvp	swift.property	resumeButton	AlarmPresentation.Paused.resumeButton	var resumeButton: AlarmButton
s:8AlarmKit0A12PresentationV6PausedV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentation.Paused.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A12PresentationV6PausedV5title10Foundation23LocalizedStringResourceVvp	swift.property	title	AlarmPresentation.Paused.title	var title: LocalizedStringResource
s:8AlarmKit0A12PresentationV6PausedV5title12resumeButtonAE10Foundation23LocalizedStringResourceV_AA0aG0Vtcfc	swift.init	init(title:resumeButton:)	AlarmPresentation.Paused.init(title:resumeButton:)	init(title: LocalizedStringResource, resumeButton: AlarmButton)
s:8AlarmKit0A12PresentationV6PausedV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentation.Paused.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A12PresentationV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentation.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A12PresentationV6pausedAC6PausedVSgvp	swift.property	paused	AlarmPresentation.paused	var paused: AlarmPresentation.Paused?
s:8AlarmKit0A12PresentationV9CountdownV	swift.struct	AlarmPresentation.Countdown	AlarmPresentation.Countdown	struct Countdown
s:8AlarmKit0A12PresentationV9CountdownV11pauseButtonAA0aF0VSgvp	swift.property	pauseButton	AlarmPresentation.Countdown.pauseButton	var pauseButton: AlarmButton?
s:8AlarmKit0A12PresentationV9CountdownV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentation.Countdown.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A12PresentationV9CountdownV5title10Foundation23LocalizedStringResourceVvp	swift.property	title	AlarmPresentation.Countdown.title	var title: LocalizedStringResource
s:8AlarmKit0A12PresentationV9CountdownV5title11pauseButtonAE10Foundation23LocalizedStringResourceV_AA0aG0VSgtcfc	swift.init	init(title:pauseButton:)	AlarmPresentation.Countdown.init(title:pauseButton:)	init(title: LocalizedStringResource, pauseButton: AlarmButton? = nil)
s:8AlarmKit0A12PresentationV9CountdownV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentation.Countdown.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A12PresentationV9countdownAC9CountdownVSgvp	swift.property	countdown	AlarmPresentation.countdown	var countdown: AlarmPresentation.Countdown?
s:8AlarmKit0A17PresentationStateV	swift.struct	AlarmPresentationState	AlarmPresentationState	struct AlarmPresentationState
s:8AlarmKit0A17PresentationStateV2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	AlarmPresentationState.==(_:_:)	static func == (a: AlarmPresentationState, b: AlarmPresentationState) -> Bool
s:8AlarmKit0A17PresentationStateV4ModeO	swift.enum	AlarmPresentationState.Mode	AlarmPresentationState.Mode	enum Mode
s:8AlarmKit0A17PresentationStateV4ModeO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	AlarmPresentationState.Mode.==(_:_:)	static func == (a: AlarmPresentationState.Mode, b: AlarmPresentationState.Mode) -> Bool
s:8AlarmKit0A17PresentationStateV4ModeO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentationState.Mode.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	AlarmPresentationState.Mode.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV	swift.struct	AlarmPresentationState.Mode.Alert	AlarmPresentationState.Mode.Alert	struct Alert
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV2eeoiySbAG_AGtFZ	swift.func.op	==(_:_:)	AlarmPresentationState.Mode.Alert.==(_:_:)	static func == (a: AlarmPresentationState.Mode.Alert, b: AlarmPresentationState.Mode.Alert) -> Bool
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV4fromAGs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentationState.Mode.Alert.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO5AlertV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	AlarmPresentationState.Mode.Alert.hash(into:)	func hash(into hasher: inout Hasher)
